time,MAC,packet
2024-04-26 06:18:00.595675,7e:17:59:78:40:0b,"Ether / IP / UDP / DNS Ans ""b'Jakub - iPad (2)._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.596230,7e:17:59:78:40:0b,"Ether / IPv6 / UDP / DNS Ans ""b'Jakub - iPad (2)._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.603537,14:98:77:57:6c:38,"Ether / IP / UDP / DNS Ans ""b'MacOS-MacMini-dean._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.603538,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Ans ""b'Honza - MacBook Pro._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.603538,7e:b4:d2:17:13:23,"Ether / IP / UDP / DNS Ans ""fe80::1497:d1d7:628d:f016"" "
2024-04-26 06:18:00.603538,14:98:77:57:6c:38,"Ether / IPv6 / UDP / DNS Ans ""b'MacOS-MacMini-dean._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.603538,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Ans ""b'Honza - MacBook Pro._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.604492,7e:b4:d2:17:13:23,"Ether / IPv6 / UDP / DNS Ans ""fe80::1497:d1d7:628d:f016"" "
2024-04-26 06:18:00.607011,06:18:ba:16:4d:35,"Ether / IP / UDP / DNS Ans ""b'iPad VD._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.607011,06:18:ba:16:4d:35,"Ether / IPv6 / UDP / DNS Ans ""b'iPad VD._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.697281,6e:b3:e5:f1:5a:40,Ether / IP / UDP 100.64.133.7:64744 > 100.64.135.255:59870 / Raw
2024-04-26 06:18:00.708181,6e:b3:e5:f1:5a:40,Ether / IP / UDP 100.64.133.7:64745 > 100.64.135.255:59870 / Raw
2024-04-26 06:18:00.708181,50:ed:3c:1a:f5:b6,"Ether / IP / UDP / DNS Ans ""[b'model=MacBookAir10,1', b'osxvers=23', b'icolor=2']"" "
2024-04-26 06:18:00.708182,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:netbios_ns > 100.64.135.255:netbios_ns / NBNSHeader / NBNSRegistrationRequest
2024-04-26 06:18:00.708182,fa:62:2c:a2:15:6e,"Ether / IP / UDP / DNS Ans ""b'Michal\xe2\x80\x99s iPad._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.708182,52:75:90:90:5d:d3,"Ether / IP / UDP / DNS Ans ""b'Ales--iPad-2.local.'"" "
2024-04-26 06:18:00.708182,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:netbios_ns > 100.64.135.255:netbios_ns / NBNSHeader / NBNSRegistrationRequest
2024-04-26 06:18:00.708182,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:netbios_ns > 100.64.135.255:netbios_ns / NBNSHeader / NBNSRegistrationRequest
2024-04-26 06:18:00.708182,10:51:07:88:6a:80,"Ether / IP / UDP / DNS Qry ""b'_googlecast._tcp.local.'"" "
2024-04-26 06:18:00.708329,10:51:07:88:6a:80,"Ether / IP / UDP / DNS Qry ""b'_googlecast._tcp.local.'"" "
2024-04-26 06:18:00.708330,50:ed:3c:1a:f5:b6,"Ether / IPv6 / UDP / DNS Ans ""[b'model=MacBookAir10,1', b'osxvers=23', b'icolor=2']"" "
2024-04-26 06:18:00.708330,fa:62:2c:a2:15:6e,"Ether / IPv6 / UDP / DNS Ans ""b'Michal\xe2\x80\x99s iPad._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.708330,52:75:90:90:5d:d3,"Ether / IPv6 / UDP / DNS Ans ""b'Ales--iPad-2.local.'"" "
2024-04-26 06:18:00.708330,10:51:07:88:6a:80,"Ether / IPv6 / UDP / DNS Qry ""b'_googlecast._tcp.local.'"" "
2024-04-26 06:18:00.708330,10:51:07:88:6a:80,"Ether / IPv6 / UDP / DNS Qry ""b'_googlecast._tcp.local.'"" "
2024-04-26 06:18:00.710516,c0:95:6d:4a:b1:a1,"Ether / IP / UDP / DNS Ans ""b'Surjit\xe2\x80\x99s MacBook Air._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.710517,34:36:3b:d2:a1:0a,"Ether / IP / UDP / DNS Ans ""[b'model=MacBookPro11,3', b'osxvers=20']"" "
2024-04-26 06:18:00.710517,34:36:3b:d2:a1:0a,"Ether / IPv6 / UDP / DNS Ans ""[b'model=MacBookPro11,3', b'osxvers=20']"" "
2024-04-26 06:18:00.713075,c0:95:6d:4a:b1:a1,"Ether / IPv6 / UDP / DNS Ans ""b'Surjit\xe2\x80\x99s MacBook Air._companion-link._tcp.local.'"" "
2024-04-26 06:18:00.713076,c0:b6:f9:e5:84:ea,"Ether / IPv6 / UDP / DNS Qry ""b'BRWEC5C68E57708.local.'"" "
2024-04-26 06:18:00.713076,c0:b6:f9:e5:84:ea,"Ether / IP / UDP / DNS Qry ""b'BRWEC5C68E57708.local.'"" "
2024-04-26 06:18:00.713076,3a:f4:cd:6a:e5:7e,"Ether / IP / UDP / DNS Qry ""b'_674A0243._sub._googlecast._tcp.local.'"" "
2024-04-26 06:18:00.799660,9c:28:f7:8b:de:94,Ether / fe80::699d:ac77:1be6:5a41 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.804840,9c:28:f7:8b:de:94,"Ether / IPv6 / UDP / DNS Qry ""b'{""nm"":""Redmi Note 8 Pro"",""as"":""[8193, 8194]"",""ip"":""231""}._mi-connect._udp.local.'"" "
2024-04-26 06:18:00.805757,10:51:07:88:6a:80,Ether / fe80::c0d7:3fa8:fd8a:56db > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.902954,50:ed:3c:1a:f5:b6,Ether / IP / UDP 100.64.132.186:52178 > 239.255.255.250:1900 / Raw
2024-04-26 06:18:00.908399,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:52493 > 239.255.255.250:3702 / Raw
2024-04-26 06:18:00.908400,c0:b6:f9:e5:84:ea,Ether / IP / UDP / NBNSHeader / NBNSQueryRequest who has '\\BRWEC5C68E57708'
2024-04-26 06:18:00.908400,b2:3c:85:89:04:f2,"Ether / IP / UDP / DNS Ans ""b'iPhone-29.local.'"" "
2024-04-26 06:18:00.908400,60:67:20:c5:70:60,"Ether / IP / UDP / DNS Qry ""b'iPhone-29.local.'"" "
2024-04-26 06:18:00.908400,b2:3c:85:89:04:f2,"Ether / IPv6 / UDP / DNS Ans ""b'iPhone-29.local.'"" "
2024-04-26 06:18:00.912394,50:ed:3c:1a:f5:b6,Ether / IP / UDP 100.64.132.186:49381 > 239.255.255.250:1900 / Raw
2024-04-26 06:18:00.912395,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:62773 > 239.255.255.250:3702 / Raw
2024-04-26 06:18:00.912395,10:51:07:88:6a:80,Ether / IPv6 / UDP fe80::c0d7:3fa8:fd8a:56db:62774 > ff02::c:3702 / Raw
2024-04-26 06:18:01.004317,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Qry ""b'iPhone-29.local.'"" "
2024-04-26 06:18:01.011512,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Qry ""b'iPhone-29.local.'"" "
2024-04-26 06:18:01.011513,10:51:07:88:6a:80,Ether / IPv6 / UDP fe80::c0d7:3fa8:fd8a:56db:62774 > ff02::c:3702 / Raw
2024-04-26 06:18:01.011513,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Qry ""b'iPhone-29.local.'"" "
2024-04-26 06:18:01.011513,50:de:06:ca:5e:64,"Ether / IPv6 / UDP / DNS Ans ""b'Matou\xc5\xa1 - MacBook Air._companion-link._tcp.local.'"" "
2024-04-26 06:18:01.011513,b2:3c:85:89:04:f2,"Ether / IPv6 / UDP / DNS Qry ""b'lb._dns-sd._udp.local.'"" "
2024-04-26 06:18:01.011513,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Qry ""b'iPhone-29.local.'"" "
2024-04-26 06:18:01.011513,50:de:06:ca:5e:64,"Ether / IP / UDP / DNS Ans ""b'Matou\xc5\xa1 - MacBook Air._companion-link._tcp.local.'"" "
2024-04-26 06:18:01.011514,b2:3c:85:89:04:f2,"Ether / IP / UDP / DNS Qry ""b'lb._dns-sd._udp.local.'"" "
2024-04-26 06:18:01.109514,e8:5a:8b:eb:46:9b,Ether / IP / UDP / DNS Ans 
2024-04-26 06:18:01.110184,e8:5a:8b:eb:46:9b,Ether / IPv6 / UDP / DNS Ans 
2024-04-26 06:18:01.120071,60:67:20:c5:70:60,"Ether / IP / UDP / DNS Qry ""b'{""nm"":""LN Redmi"",""as"":""[8194]"",""ip"":""107""}._mi-connect._udp.local.'"" "
2024-04-26 06:18:01.120071,a6:04:90:52:97:80,"Ether / IP / UDP / DNS Qry ""b'_spotify-social-listening._tcp.local.'"" "
